                    CRIM    ZN INDUS CHAS NOX    RM   AGE    DIS RAD TAX PTRATIO  B  LSTAT MEDV  
232__Newton      0.46296   0.0  6.20 0 0.5040 7.412  76.9  3.6715  8 307 17.4 376.14  5.25 31.7
233__Newton      0.57529   0.0  6.20 0 0.5070 8.337  73.3  3.8384  8 307 17.4 385.91  2.47 41.7
234__Newton      0.33147   0.0  6.20 0 0.5070 8.247  70.4  3.6519  8 307 17.4 378.95  3.95 48.3
235__Newton      0.44791   0.0  6.20 1 0.5070 6.726  66.5  3.6519  8 307 17.4 360.20  8.05 29.0
236__Newton      0.33045   0.0  6.20 0 0.5070 6.086  61.5  3.6519  8 307 17.4 376.75 10.88 24.0
237__Newton      0.52058   0.0  6.20 1 0.5070 6.631  76.5  4.1480  8 307 17.4 388.45  9.54 25.1
238__Newton      0.51183   0.0  6.20 0 0.5070 7.358  71.6  4.1480  8 307 17.4 390.07  4.73 31.5
239__Natick      0.08244  30.0  4.93 0 0.4280 6.481  18.5  6.1899  6 300 16.6 379.41  6.36 23.7
240__Natick      0.09252  30.0  4.93 0 0.4280 6.606  42.2  6.1899  6 300 16.6 383.78  7.37 23.3
241__Natick      0.11329  30.0  4.93 0 0.4280 6.897  54.3  6.3361  6 300 16.6 391.25 11.38 22.0
242__Natick      0.10612  30.0  4.93 0 0.4280 6.095  65.1  6.3361  6 300 16.6 394.62 12.40 20.1
243__Natick      0.10290  30.0  4.93 0 0.4280 6.358  52.9  7.0355  6 300 16.6 372.75 11.22 22.2
244__Natick      0.12757  30.0  4.93 0 0.4280 6.393   7.8  7.0355  6 300 16.6 374.71  5.19 23.7
245__Framington  0.20608  22.0  5.86 0 0.4310 5.593  76.5  7.9549  7 330 19.1 372.49 12.50 17.6
246__Framington  0.19133  22.0  5.86 0 0.4310 5.605  70.2  7.9549  7 330 19.1 389.13 18.46 18.5
247__Framington  0.33983  22.0  5.86 0 0.4310 6.108  34.9  8.0555  7 330 19.1 390.18  9.16 24.3
248__Framington  0.19657  22.0  5.86 0 0.4310 6.226  79.2  8.0555  7 330 19.1 376.14 10.15 20.5
249__Framington  0.16439  22.0  5.86 0 0.4310 6.433  49.1  7.8265  7 330 19.1 374.71  9.52 24.5
250__Framington  0.19073  22.0  5.86 0 0.4310 6.718  17.5  7.8265  7 330 19.1 393.74  6.56 26.2
251__Framington  0.14030  22.0  5.86 0 0.4310 6.487  13.0  7.3967  7 330 19.1 396.28  5.90 24.4
252__Framington  0.21409  22.0  5.86 0 0.4310 6.438   8.9  7.3967  7 330 19.1 377.07  3.59 24.8
253__Framington  0.08221  22.0  5.86 0 0.4310 6.957   6.8  8.9067  7 330 19.1 386.09  3.53 29.6
254__Framington  0.36894  22.0  5.86 0 0.4310 8.259   8.4  8.9067  7 330 19.1 396.90  3.54 42.8
255__Ashland     0.04819  80.0  3.64 0 0.3920 6.108  32.0  9.2203  1 315 16.4 392.89  6.57 21.9
256__Ashland     0.03548  80.0  3.64 0 0.3920 5.876  19.1  9.2203  1 315 16.4 395.18  9.25 20.9
257__Sherborn    0.01538  90.0  3.75 0 0.3940 7.454  34.2  6.3361  3 244 15.9 386.34  3.11 44.0
258__Brookline   0.61154  20.0  3.97 0 0.6470 8.704  86.9  1.8010  5 264 13.0 389.70  5.12 50.0
259__Brookline   0.66351  20.0  3.97 0 0.6470 7.333 100.0  1.8946  5 264 13.0 383.29  7.79 36.0
260__Brookline   0.65665  20.0  3.97 0 0.6470 6.842 100.0  2.0107  5 264 13.0 391.93  6.90 30.1
261__Brookline   0.54011  20.0  3.97 0 0.6470 7.203  81.8  2.1121  5 264 13.0 392.80  9.59 33.8
262__Brookline   0.53412  20.0  3.97 0 0.6470 7.520  89.4  2.1398  5 264 13.0 388.37  7.26 43.1
263__Brookline   0.52014  20.0  3.97 0 0.6470 8.398  91.5  2.2885  5 264 13.0 386.86  5.91 48.8
264__Brookline   0.82526  20.0  3.97 0 0.6470 7.327  94.5  2.0788  5 264 13.0 393.42 11.25 31.0
265__Brookline   0.55007  20.0  3.97 0 0.6470 7.206  91.6  1.9301  5 264 13.0 387.89  8.10 36.5
266__Brookline   0.76162  20.0  3.97 0 0.6470 5.560  62.8  1.9865  5 264 13.0 392.40 10.45 22.8
267__Brookline   0.78570  20.0  3.97 0 0.6470 7.014  84.6  2.1329  5 264 13.0 384.07 14.79 30.7
268__Brookline   0.57834  20.0  3.97 0 0.5750 8.297  67.0  2.4216  5 264 13.0 384.54  7.44 50.0
269__Brookline   0.54050  20.0  3.97 0 0.5750 7.470  52.6  2.8720  5 264 13.0 390.30  3.16 43.5
270__Dedham      0.09065  20.0  6.96 1 0.4640 5.920  61.5  3.9175  3 223 18.6 391.34 13.65 20.7
271__Dedham      0.29916  20.0  6.96 0 0.4640 5.856  42.1  4.4290  3 223 18.6 388.65 13.00 21.1
272__Dedham      0.16211  20.0  6.96 0 0.4640 6.240  16.3  4.4290  3 223 18.6 396.90  6.59 25.2
273__Dedham      0.11460  20.0  6.96 0 0.4640 6.538  58.7  3.9175  3 223 18.6 394.96  7.73 24.4
274__Dedham      0.22188  20.0  6.96 1 0.4640 7.691  51.8  4.3665  3 223 18.6 390.77  6.58 35.2
275__Needham     0.05644  40.0  6.41 1 0.4470 6.758  32.9  4.0776  4 254 17.6 396.90  3.53 32.4
276__Needham     0.09604  40.0  6.41 0 0.4470 6.854  42.8  4.2673  4 254 17.6 396.90  2.98 32.0
277__Needham     0.10469  40.0  6.41 1 0.4470 7.267  49.0  4.7872  4 254 17.6 389.25  6.05 33.2
278__Needham     0.06127  40.0  6.41 1 0.4470 6.826  27.6  4.8628  4 254 17.6 393.45  4.16 33.1
279__Needham     0.07978  40.0  6.41 0 0.4470 6.482  32.1  4.1403  4 254 17.6 396.90  7.19 29.1
280__Wellesley   0.21038  20.0  3.33 0 0.4429 6.812  32.2  4.1007  5 216 14.9 396.90  4.85 35.1
281__Wellesley   0.03578  20.0  3.33 0 0.4429 7.820  64.5  4.6947  5 216 14.9 387.31  3.76 45.4
282__Wellesley   0.03705  20.0  3.33 0 0.4429 6.968  37.2  5.2447  5 216 14.9 392.23  4.59 35.4
283__Wellesley   0.06129  20.0  3.33 1 0.4429 7.645  49.7  5.2119  5 216 14.9 377.07  3.01 46.0
284__Dover       0.01501  90.0  1.21 1 0.4010 7.923  24.8  5.8850  1 198 13.6 395.52  3.16 50.0
285__Medfield    0.00906  90.0  2.97 0 0.4000 7.088  20.8  7.3073  1 285 15.3 394.72  7.85 32.2
286__Millis      0.01096  55.0  2.25 0 0.3890 6.453  31.9  7.3073  1 300 15.3 394.72  8.23 22.0
287__Norfold     0.01965  80.0  1.76 0 0.3850 6.230  31.5  9.0892  1 241 18.2 341.60 12.93 20.1
288__Walpole     0.03871  52.5  5.32 0 0.4050 6.209  31.3  7.3172  6 293 16.6 396.90  7.14 23.2
289__Walpole     0.04590  52.5  5.32 0 0.4050 6.315  45.6  7.3172  6 293 16.6 396.90  7.60 22.3
290__Walpole     0.04297  52.5  5.32 0 0.4050 6.565  22.9  7.3172  6 293 16.6 371.72  9.51 24.8
291__Westwood    0.03502  80.0  4.95 0 0.4110 6.861  27.9  5.1167  4 245 19.2 396.90  3.33 28.5
292__Westwood    0.07886  80.0  4.95 0 0.4110 7.148  27.7  5.1167  4 245 19.2 396.90  3.56 37.3
293__Westwood    0.03615  80.0  4.95 0 0.4110 6.630  23.4  5.1167  4 245 19.2 396.90  4.70 27.9
294__Norwood     0.08265   0.0 13.92 0 0.4370 6.127  18.4  5.5027  4 289 16.0 396.90  8.58 23.9
295__Norwood     0.08199   0.0 13.92 0 0.4370 6.009  42.3  5.5027  4 289 16.0 396.90 10.40 21.7
296__Norwood     0.12932   0.0 13.92 0 0.4370 6.678  31.1  5.9604  4 289 16.0 396.90  6.27 28.6
297__Norwood     0.05372   0.0 13.92 0 0.4370 6.549  51.0  5.9604  4 289 16.0 392.85  7.39 27.1
298__Norwood     0.14103   0.0 13.92 0 0.4370 5.790  58.0  6.3200  4 289 16.0 396.90 15.84 20.3
299__Sharon      0.06466  70.0  2.24 0 0.4000 6.345  20.1  7.8278  5 358 14.8 368.24  4.97 22.5
300__Sharon      0.05561  70.0  2.24 0 0.4000 7.041  10.0  7.8278  5 358 14.8 371.58  4.74 29.0
301__Sharon      0.04417  70.0  2.24 0 0.4000 6.871  47.4  7.8278  5 358 14.8 390.86  6.07 24.8
302__Canton      0.03537  34.0  6.09 0 0.4330 6.590  40.4  5.4917  7 329 16.1 395.75  9.50 22.0
303__Canton      0.09266  34.0  6.09 0 0.4330 6.495  18.4  5.4917  7 329 16.1 383.61  8.67 26.4
304__Canton      0.10000  34.0  6.09 0 0.4330 6.982  17.7  5.4917  7 329 16.1 390.43  4.86 33.1
305__Milton      0.05515  33.0  2.18 0 0.4720 7.236  41.1  4.0220  7 222 18.4 393.68  6.93 36.1
306__Milton      0.05479  33.0  2.18 0 0.4720 6.616  58.1  3.3700  7 222 18.4 393.36  8.93 28.4
307__Milton      0.07503  33.0  2.18 0 0.4720 7.420  71.9  3.0992  7 222 18.4 396.90  6.47 33.4
308__Milton      0.04932  33.0  2.18 0 0.4720 6.849  70.3  3.1827  7 222 18.4 396.90  7.53 28.2
309__Quincy      0.49298   0.0  9.90 0 0.5440 6.635  82.5  3.3175  4 304 18.4 396.90  4.54 22.8
310__Quincy      0.34940   0.0  9.90 0 0.5440 5.972  76.7  3.1025  4 304 18.4 396.24  9.97 20.3
311__Quincy      2.63548   0.0  9.90 0 0.5440 4.973  37.8  2.5194  4 304 18.4 350.45 12.64 16.1
312__Quincy      0.79041   0.0  9.90 0 0.5440 6.122  52.8  2.6403  4 304 18.4 396.90  5.98 22.1
313__Quincy      0.26169   0.0  9.90 0 0.5440 6.023  90.4  2.8340  4 304 18.4 396.30 11.72 19.4
314__Quincy      0.26938   0.0  9.90 0 0.5440 6.266  82.8  3.2628  4 304 18.4 393.39  7.90 21.6
315__Quincy      0.36920   0.0  9.90 0 0.5440 6.567  87.3  3.6023  4 304 18.4 395.69  9.28 23.8
316__Quincy      0.25356   0.0  9.90 0 0.5440 5.705  77.7  3.9450  4 304 18.4 396.42 11.50 16.2
317__Quincy      0.31827   0.0  9.90 0 0.5440 5.914  83.2  3.9986  4 304 18.4 390.70 18.33 17.8
318__Quincy      0.24522   0.0  9.90 0 0.5440 5.782  71.7  4.0317  4 304 18.4 396.90 15.94 19.8
319__Quincy      0.40202   0.0  9.90 0 0.5440 6.382  67.2  3.5325  4 304 18.4 395.21 10.36 23.1
320__Quincy      0.47547   0.0  9.90 0 0.5440 6.113  58.8  4.0019  4 304 18.4 396.23 12.73 21.0
321__Braintree   0.16760   0.0  7.38 0 0.4930 6.426  52.3  4.5404  5 287 19.6 396.90  7.20 23.8
322__Braintree   0.18159   0.0  7.38 0 0.4930 6.376  54.3  4.5404  5 287 19.6 396.90  6.87 23.1
323__Braintree   0.35114   0.0  7.38 0 0.4930 6.041  49.9  4.7211  5 287 19.6 396.90  7.70 20.4
324__Braintree   0.28392   0.0  7.38 0 0.4930 5.708  74.3  4.7211  5 287 19.6 391.13 11.74 18.5
325__Braintree   0.34109   0.0  7.38 0 0.4930 6.415  40.1  4.7211  5 287 19.6 396.90  6.12 25.0
326__Braintree   0.19186   0.0  7.38 0 0.4930 6.431  14.7  5.4159  5 287 19.6 393.68  5.08 24.6
327__Braintree   0.30347   0.0  7.38 0 0.4930 6.312  28.9  5.4159  5 287 19.6 396.90  6.15 23.0
328__Braintree   0.24103   0.0  7.38 0 0.4930 6.083  43.7  5.4159  5 287 19.6 396.90 12.79 22.2
329__Randolph    0.06617   0.0  3.24 0 0.4600 5.868  25.8  5.2146  4 430 16.9 382.44  9.97 19.3
330__Randolph    0.06724   0.0  3.24 0 0.4600 6.333  17.2  5.2146  4 430 16.9 375.21  7.34 22.6
331__Randolph    0.04544   0.0  3.24 0 0.4600 6.144  32.2  5.8736  4 430 16.9 368.57  9.09 19.8
332__Holbrook    0.05023  35.0  6.06 0 0.4379 5.706  28.4  6.6407  1 304 16.9 394.02 12.43 17.1
333__Holbrook    0.03466  35.0  6.06 0 0.4379 6.031  23.3  6.6407  1 304 16.9 362.25  7.83 19.4
334__Weymouth    0.05083   0.0  5.19 0 0.5150 6.316  38.1  6.4584  5 224 20.2 389.71  5.68 22.2
335__Weymouth    0.03738   0.0  5.19 0 0.5150 6.310  38.5  6.4584  5 224 20.2 389.40  6.75 20.7
336__Weymouth    0.03961   0.0  5.19 0 0.5150 6.037  34.5  5.9853  5 224 20.2 396.90  8.01 21.1
337__Weymouth    0.03427   0.0  5.19 0 0.5150 5.869  46.3  5.2311  5 224 20.2 396.90  9.80 19.5
338__Weymouth    0.03041   0.0  5.19 0 0.5150 5.895  59.6  5.6150  5 224 20.2 394.81 10.56 18.5
339__Weymouth    0.03306   0.0  5.19 0 0.5150 6.059  37.3  4.8122  5 224 20.2 396.14  8.51 20.6
340__Weymouth    0.05497   0.0  5.19 0 0.5150 5.985  45.4  4.8122  5 224 20.2 396.90  9.74 19.0
341__Weymouth    0.06151   0.0  5.19 0 0.5150 5.968  58.5  4.8122  5 224 20.2 396.90  9.29 18.7
342__Cohasset    0.01301  35.0  1.52 0 0.4420 7.241  49.3  7.0379  1 284 15.5 394.74  5.49 32.7
343__Hull        0.02498   0.0  1.89 0 0.5180 6.540  59.7  6.2669  1 422 15.9 389.96  8.65 16.5
344__Hingham     0.02543  55.0  3.78 0 0.4840 6.696  56.4  5.7321  5 370 17.6 396.90  7.18 23.9
345__Hingham     0.03049  55.0  3.78 0 0.4840 6.874  28.1  6.4654  5 370 17.6 387.97  4.61 31.2
346__Rockland    0.03113   0.0  4.39 0 0.4420 6.014  48.5  8.0136  3 352 18.8 385.64 10.53 17.5
347__Rockland    0.06162   0.0  4.39 0 0.4420 5.898  52.3  8.0136  3 352 18.8 364.61 12.67 17.2
348__Hanover     0.01870  85.0  4.15 0 0.4290 6.516  27.7  8.5353  4 351 17.9 392.43  6.36 23.1
349__Norwell     0.01501  80.0  2.01 0 0.4350 6.635  29.7  8.3440  4 280 17.0 390.94  5.99 24.5
350__Scituate    0.02899  40.0  1.25 0 0.4290 6.939  34.5  8.7921  1 335 19.7 389.85  5.89 26.6
351__Scituate    0.06211  40.0  1.25 0 0.4290 6.490  44.4  8.7921  1 335 19.7 396.90  5.98 22.9
352__Marshfield  0.07950  60.0  1.69 0 0.4110 6.579  35.9 10.7103  4 411 18.3 370.78  5.49 24.1
353__Marshfield  0.07244  60.0  1.69 0 0.4110 5.884  18.5 10.7103  4 411 18.3 392.33  7.79 18.6
354__Duxbury     0.01709  90.0  2.02 0 0.4100 6.728  36.1 12.1265  5 187 17.0 384.46  4.50 30.1
355__Penbroke    0.04301  80.0  1.91 0 0.4130 5.663  21.9 10.5857  4 334 22.0 382.80  8.05 18.2
356__Penbroke    0.10659  80.0  1.91 0 0.4130 5.936  19.5 10.5857  4 334 22.0 376.04  5.57 20.6
357__Boston      8.98296   0.0 18.10 1 0.7700 6.212  97.4  2.1222 24 666 20.2 377.73 17.60 17.8
358__Boston      3.84970   0.0 18.10 1 0.7700 6.395  91.0  2.5052 24 666 20.2 391.34 13.27 21.7
359__Boston      5.20177   0.0 18.10 1 0.7700 6.127  83.4  2.7227 24 666 20.2 395.43 11.48 22.7
360__Boston      4.26131   0.0 18.10 0 0.7700 6.112  81.3  2.5091 24 666 20.2 390.74 12.67 22.6
361__Boston      4.54192   0.0 18.10 0 0.7700 6.398  88.0  2.5182 24 666 20.2 374.56  7.79 25.0
362__Boston      3.83684   0.0 18.10 0 0.7700 6.251  91.1  2.2955 24 666 20.2 350.65 14.19 19.9
363__Boston      3.67822   0.0 18.10 0 0.7700 5.362  96.2  2.1036 24 666 20.2 380.79 10.19 20.8
364__Boston      4.22239   0.0 18.10 1 0.7700 5.803  89.0  1.9047 24 666 20.2 353.04 14.64 16.8
365__Boston      3.47428   0.0 18.10 1 0.7180 8.780  82.9  1.9047 24 666 20.2 354.55  5.29 21.9
366__Boston      4.55587   0.0 18.10 0 0.7180 3.561  87.9  1.6132 24 666 20.2 354.70  7.12 27.5
367__Boston      3.69695   0.0 18.10 0 0.7180 4.963  91.4  1.7523 24 666 20.2 316.03 14.00 21.9
368__Boston     13.52220   0.0 18.10 0 0.6310 3.863 100.0  1.5106 24 666 20.2 131.42 13.33 23.1
369__Boston      4.89822   0.0 18.10 0 0.6310 4.970 100.0  1.3325 24 666 20.2 375.52  3.26 50.0
370__Boston      5.66998   0.0 18.10 1 0.6310 6.683  96.8  1.3567 24 666 20.2 375.33  3.73 50.0
371__Boston      6.53876   0.0 18.10 1 0.6310 7.016  97.5  1.2024 24 666 20.2 392.05  2.96 50.0
372__Boston      9.23230   0.0 18.10 0 0.6310 6.216 100.0  1.1691 24 666 20.2 366.15  9.53 50.0
373__Boston      8.26725   0.0 18.10 1 0.6680 5.875  89.6  1.1296 24 666 20.2 347.88  8.88 50.0
374__Boston     11.10810   0.0 18.10 0 0.6680 4.906 100.0  1.1742 24 666 20.2 396.90 34.77 13.8
375__Boston     18.49820   0.0 18.10 0 0.6680 4.138 100.0  1.1370 24 666 20.2 396.90 37.97 13.8
376__Boston     19.60910   0.0 18.10 0 0.6710 7.313  97.9  1.3163 24 666 20.2 396.90 13.44 15.0
377__Boston     15.28800   0.0 18.10 0 0.6710 6.649  93.3  1.3449 24 666 20.2 363.02 23.24 13.9
378__Boston      9.82349   0.0 18.10 0 0.6710 6.794  98.8  1.3580 24 666 20.2 396.90 21.24 13.3
379__Boston     23.64820   0.0 18.10 0 0.6710 6.380  96.2  1.3861 24 666 20.2 396.90 23.69 13.1
380__Boston     17.86670   0.0 18.10 0 0.6710 6.223 100.0  1.3861 24 666 20.2 393.74 21.78 10.2
381__Boston     88.97620   0.0 18.10 0 0.6710 6.968  91.9  1.4165 24 666 20.2 396.90 17.21 10.4
382__Boston     15.87440   0.0 18.10 0 0.6710 6.545  99.1  1.5192 24 666 20.2 396.90 21.08 10.9
383__Boston      9.18702   0.0 18.10 0 0.7000 5.536 100.0  1.5804 24 666 20.2 396.90 23.60 11.3
384__Boston      7.99248   0.0 18.10 0 0.7000 5.520 100.0  1.5331 24 666 20.2 396.90 24.56 12.3
385__Boston     20.08490   0.0 18.10 0 0.7000 4.368  91.2  1.4395 24 666 20.2 285.83 30.63  8.8
386__Boston     16.81180   0.0 18.10 0 0.7000 5.277  98.1  1.4261 24 666 20.2 396.90 30.81  7.2
387__Boston     24.39380   0.0 18.10 0 0.7000 4.652 100.0  1.4672 24 666 20.2 396.90 28.28 10.5
388__Boston     22.59710   0.0 18.10 0 0.7000 5.000  89.5  1.5184 24 666 20.2 396.90 31.99  7.4
389__Boston     14.33370   0.0 18.10 0 0.7000 4.880 100.0  1.5895 24 666 20.2 372.92 30.62 10.2
390__Boston      8.15174   0.0 18.10 0 0.7000 5.390  98.9  1.7281 24 666 20.2 396.90 20.85 11.5
391__Boston      6.96215   0.0 18.10 0 0.7000 5.713  97.0  1.9265 24 666 20.2 394.43 17.11 15.1
392__Boston      5.29305   0.0 18.10 0 0.7000 6.051  82.5  2.1678 24 666 20.2 378.38 18.76 23.2
393__Boston     11.57790   0.0 18.10 0 0.7000 5.036  97.0  1.7700 24 666 20.2 396.90 25.68  9.7
394__Boston      8.64476   0.0 18.10 0 0.6930 6.193  92.6  1.7912 24 666 20.2 396.90 15.17 13.8
395__Boston     13.35980   0.0 18.10 0 0.6930 5.887  94.7  1.7821 24 666 20.2 396.90 16.35 12.7
396__Boston      8.71675   0.0 18.10 0 0.6930 6.471  98.8  1.7257 24 666 20.2 391.98 17.12 13.1
397__Boston      5.87205   0.0 18.10 0 0.6930 6.405  96.0  1.6768 24 666 20.2 396.90 19.37 12.5
398__Boston      7.67202   0.0 18.10 0 0.6930 5.747  98.9  1.6334 24 666 20.2 393.10 19.92  8.5
399__Boston     38.35180   0.0 18.10 0 0.6930 5.453 100.0  1.4896 24 666 20.2 396.90 30.59  5.0
400__Boston      9.91655   0.0 18.10 0 0.6930 5.852  77.8  1.5004 24 666 20.2 338.16 29.97  6.3
401__Boston     25.04610   0.0 18.10 0 0.6930 5.987 100.0  1.5888 24 666 20.2 396.90 26.77  5.6
402__Boston     14.23620   0.0 18.10 0 0.6930 6.343 100.0  1.5741 24 666 20.2 396.90 20.32  7.2
403__Boston      9.59571   0.0 18.10 0 0.6930 6.404 100.0  1.6390 24 666 20.2 376.11 20.31 12.1
404__Boston     24.80170   0.0 18.10 0 0.6930 5.349  96.0  1.7028 24 666 20.2 396.90 19.77  8.3
405__Boston     41.52920   0.0 18.10 0 0.6930 5.531  85.4  1.6074 24 666 20.2 329.46 27.38  8.5
406__Boston     67.92080   0.0 18.10 0 0.6930 5.683 100.0  1.4254 24 666 20.2 384.97 22.98  5.0
407__Boston     20.71620   0.0 18.10 0 0.6590 4.138 100.0  1.1781 24 666 20.2 370.22 23.34 11.9
408__Boston     11.95110   0.0 18.10 0 0.6590 5.608 100.0  1.2852 24 666 20.2 332.09 12.13 27.9
409__Boston      7.40389   0.0 18.10 0 0.5970 5.617  97.9  1.4547 24 666 20.2 314.64 26.40 17.2
410__Boston     14.43830   0.0 18.10 0 0.5970 6.852 100.0  1.4655 24 666 20.2 179.36 19.78 27.5
411__Boston     51.13580   0.0 18.10 0 0.5970 5.757 100.0  1.4130 24 666 20.2   2.60 10.11 15.0
412__Boston     14.05070   0.0 18.10 0 0.5970 6.657 100.0  1.5275 24 666 20.2  35.05 21.22 17.2
413__Boston     18.81100   0.0 18.10 0 0.5970 4.628 100.0  1.5539 24 666 20.2  28.79 34.37 17.9
414__Boston     28.65580   0.0 18.10 0 0.5970 5.155 100.0  1.5894 24 666 20.2 210.97 20.08 16.3
415__Boston     45.74610   0.0 18.10 0 0.6930 4.519 100.0  1.6582 24 666 20.2  88.27 36.98  7.0
416__Boston     18.08460   0.0 18.10 0 0.6790 6.434 100.0  1.8347 24 666 20.2  27.25 29.05  7.2
417__Boston     10.83420   0.0 18.10 0 0.6790 6.782  90.8  1.8195 24 666 20.2  21.57 25.79  7.5
418__Boston     25.94060   0.0 18.10 0 0.6790 5.304  89.1  1.6475 24 666 20.2 127.36 26.64 10.4
419__Boston     73.53410   0.0 18.10 0 0.6790 5.957 100.0  1.8026 24 666 20.2  16.45 20.62  8.8
420__Boston     11.81230   0.0 18.10 0 0.7180 6.824  76.5  1.7940 24 666 20.2  48.45 22.74  8.4
421__Boston     11.08740   0.0 18.10 0 0.7180 6.411 100.0  1.8589 24 666 20.2 318.75 15.02 16.7
422__Boston      7.02259   0.0 18.10 0 0.7180 6.006  95.3  1.8746 24 666 20.2 319.98 15.70 14.2
423__Boston     12.04820   0.0 18.10 0 0.6140 5.648  87.6  1.9512 24 666 20.2 291.55 14.10 20.8
424__Boston      7.05042   0.0 18.10 0 0.6140 6.103  85.1  2.0218 24 666 20.2   2.52 23.29 13.4
425__Boston      8.79212   0.0 18.10 0 0.5840 5.565  70.6  2.0635 24 666 20.2   3.65 17.16 11.7
426__Boston     15.86030   0.0 18.10 0 0.6790 5.896  95.4  1.9096 24 666 20.2   7.68 24.39  8.3
427__Boston     12.24720   0.0 18.10 0 0.5840 5.837  59.7  1.9976 24 666 20.2  24.65 15.69 10.2
428__Boston     37.66190   0.0 18.10 0 0.6790 6.202  78.7  1.8629 24 666 20.2  18.82 14.52 10.9
429__Boston      7.36711   0.0 18.10 0 0.6790 6.193  78.1  1.9356 24 666 20.2  96.73 21.52 11.0
430__Boston      9.33889   0.0 18.10 0 0.6790 6.380  95.6  1.9682 24 666 20.2  60.72 24.08  9.5
431__Boston      8.49213   0.0 18.10 0 0.5840 6.348  86.1  2.0527 24 666 20.2  83.45 17.64 14.5
432__Boston     10.06230   0.0 18.10 0 0.5840 6.833  94.3  2.0882 24 666 20.2  81.33 19.69 14.1
433__Boston      6.44405   0.0 18.10 0 0.5840 6.425  74.8  2.2004 24 666 20.2  97.95 12.03 16.1
434__Boston      5.58107   0.0 18.10 0 0.7130 6.436  87.9  2.3158 24 666 20.2 100.19 16.22 14.3
435__Boston     13.91340   0.0 18.10 0 0.7130 6.208  95.0  2.2222 24 666 20.2 100.63 15.17 11.7
436__Boston     11.16040   0.0 18.10 0 0.7400 6.629  94.6  2.1247 24 666 20.2 109.85 23.27 13.4
437__Boston     14.42080   0.0 18.10 0 0.7400 6.461  93.3  2.0026 24 666 20.2  27.49 18.05  9.6
438__Boston     15.17720   0.0 18.10 0 0.7400 6.152 100.0  1.9142 24 666 20.2   9.32 26.45  8.7
439__Boston     13.67810   0.0 18.10 0 0.7400 5.935  87.9  1.8206 24 666 20.2  68.95 34.02  8.4
440__Boston      9.39063   0.0 18.10 0 0.7400 5.627  93.9  1.8172 24 666 20.2 396.90 22.88 12.8
441__Boston     22.05110   0.0 18.10 0 0.7400 5.818  92.4  1.8662 24 666 20.2 391.45 22.11 10.5
442__Boston      9.72418   0.0 18.10 0 0.7400 6.406  97.2  2.0651 24 666 20.2 385.96 19.52 17.1
443__Boston      5.66637   0.0 18.10 0 0.7400 6.219 100.0  2.0048 24 666 20.2 395.69 16.59 18.4
444__Boston      9.96654   0.0 18.10 0 0.7400 6.485 100.0  1.9784 24 666 20.2 386.73 18.85 15.4
445__Boston     12.80230   0.0 18.10 0 0.7400 5.854  96.6  1.8956 24 666 20.2 240.52 23.79 10.8
446__Boston     10.67180   0.0 18.10 0 0.7400 6.459  94.8  1.9879 24 666 20.2  43.06 23.98 11.8
447__Boston      6.28807   0.0 18.10 0 0.7400 6.341  96.4  2.0720 24 666 20.2 318.01 17.79 14.9
448__Boston      9.92485   0.0 18.10 0 0.7400 6.251  96.6  2.1980 24 666 20.2 388.52 16.44 12.6
449__Boston      9.32909   0.0 18.10 0 0.7130 6.185  98.7  2.2616 24 666 20.2 396.90 18.13 14.1
450__Boston      7.52601   0.0 18.10 0 0.7130 6.417  98.3  2.1850 24 666 20.2 304.21 19.31 13.0
451__Boston      6.71772   0.0 18.10 0 0.7130 6.749  92.6  2.3236 24 666 20.2   0.32 17.44 13.4
452__Boston      5.44114   0.0 18.10 0 0.7130 6.655  98.2  2.3552 24 666 20.2 355.29 17.73 15.2
453__Boston      5.09017   0.0 18.10 0 0.7130 6.297  91.8  2.3682 24 666 20.2 385.09 17.27 16.1
454__Boston      8.24809   0.0 18.10 0 0.7130 7.393  99.3  2.4527 24 666 20.2 375.87 16.74 17.8
455__Boston      9.51363   0.0 18.10 0 0.7130 6.728  94.1  2.4961 24 666 20.2   6.68 18.71 14.9
456__Boston      4.75237   0.0 18.10 0 0.7130 6.525  86.5  2.4358 24 666 20.2  50.92 18.13 14.1
457__Boston      4.66883   0.0 18.10 0 0.7130 5.976  87.9  2.5806 24 666 20.2  10.48 19.01 12.7
458__Boston      8.20058   0.0 18.10 0 0.7130 5.936  80.3  2.7792 24 666 20.2   3.50 16.94 13.5
459__Boston      7.75223   0.0 18.10 0 0.7130 6.301  83.7  2.7831 24 666 20.2 272.21 16.23 14.9
460__Boston      6.80117   0.0 18.10 0 0.7130 6.081  84.4  2.7175 24 666 20.2 396.90 14.70 20.0
461__Boston      4.81213   0.0 18.10 0 0.7130 6.701  90.0  2.5975 24 666 20.2 255.23 16.42 16.4
462__Boston      3.69311   0.0 18.10 0 0.7130 6.376  88.4  2.5671 24 666 20.2 391.43 14.65 17.7
463__Boston      6.65492   0.0 18.10 0 0.7130 6.317  83.0  2.7344 24 666 20.2 396.90 13.99 19.5
464__Boston      5.82115   0.0 18.10 0 0.7130 6.513  89.9  2.8016 24 666 20.2 393.82 10.29 20.2
465__Boston      7.83932   0.0 18.10 0 0.6550 6.209  65.4  2.9634 24 666 20.2 396.90 13.22 21.4
